Surface reelle bati,Nombre pieces principales,Type local,Nombre de lots,Valeur fonciere,No voie,Type de voie,Voie,Code postal,Commune,prix_m2,adresse_complete,latitude,longitude
36.0,2.0,Appartement,1,"192700,00",40.0,RUE,LEONARD DANEL,59800.0,LILLE,5352.777777777777,"40 RUE LEONARD DANEL, 59800 LILLE",50.6399503,3.0552736
18.0,1.0,Appartement,1,"81000,00",14.0,RUE,MARACCI,59800.0,LILLE,4500.0,"14 RUE MARACCI, 59800 LILLE",50.6467225,3.0599988
48.0,2.0,Appartement,1,"157000,00",92.0,RUE,ALAIN DE LILLE,59000.0,LILLE,3270.833333333333,"92 RUE ALAIN DE LILLE, 59000 LILLE",50.6194107,3.0746446
29.0,2.0,Appartement,1,"145000,00",23.0,RUE,DU SABOT,59800.0,LILLE,5000.0,"23 RUE DU SABOT, 59800 LILLE",50.6324629,3.0403844
18.0,1.0,Appartement,1,"84450,00",14.0,RUE,MARACCI,59800.0,LILLE,4691.666666666667,"14 RUE MARACCI, 59800 LILLE",50.6467225,3.0599988
65.0,3.0,Appartement,1,"207500,00",53.0,RUE,ROGER SALENGRO,59260.0,LILLE,3192.3076923076924,"53 RUE ROGER SALENGRO, 59260 LILLE",50.6356779,3.100953
132.0,5.0,Appartement,1,"710000,00",84.0,RUE,BOUCHER DE PERTHES,59800.0,LILLE,5378.787878787879,"84 RUE BOUCHER DE PERTHES, 59800 LILLE",50.6331476,3.0544595
55.0,2.0,Appartement,1,"229700,00",9.0,RUE,MARACCI,59800.0,LILLE,4176.363636363636,"9 RUE MARACCI, 59800 LILLE",50.6458679,3.0601594
49.0,2.0,Appartement,1,"210000,00",108.0,RUE,DE LA BARRE,59800.0,LILLE,4285.714285714285,"108 RUE DE LA BARRE, 59800 LILLE",50.638505,3.0540551
65.0,3.0,Appartement,1,"237000,00",39.0,RUE,NICOLAS LEBLANC,59000.0,LILLE,3646.153846153846,"39 RUE NICOLAS LEBLANC, 59000 LILLE",50.6291138,3.0614408
26.0,1.0,Appartement,1,"129000,00",1.0,RUE,EMILE ROUZE,59000.0,LILLE,4961.538461538462,"1 RUE EMILE ROUZE, 59000 LILLE",50.614776,3.0508109
31.0,1.0,Appartement,2,"142000,00",1.0,RUE,BARTHELEMY DELESPAUL,59000.0,LILLE,4580.645161290323,"1 RUE BARTHELEMY DELESPAUL, 59000 LILLE",50.624045,3.0548394
31.0,1.0,Appartement,0,"233500,00",9.0,RUE,PIERRE BAUMANN,59800.0,LILLE,7532.258064516129,"9 RUE PIERRE BAUMANN, 59800 LILLE",50.6248982,3.0979577
16.0,1.0,Appartement,1,"62500,00",43.0,RUE,DES PONTS DE COMINES,59800.0,LILLE,3906.25,"43 RUE DES PONTS DE COMINES, 59800 LILLE",50.637782,3.0678899
12.0,1.0,Appartement,1,"62500,00",43.0,RUE,DES PONTS DE COMINES,59800.0,LILLE,5208.333333333333,"43 RUE DES PONTS DE COMINES, 59800 LILLE",50.637782,3.0678899
46.0,2.0,Appartement,1,"237000,00",17.0,SQ,DUTILLEUL,59800.0,LILLE,5152.173913043478,"17 SQ DUTILLEUL, 59800 LILLE",50.6365981,3.0548967
51.0,3.0,Appartement,3,"185000,00",63.0,RUE,GANTOIS,59000.0,LILLE,3627.450980392157,"63 RUE GANTOIS, 59000 LILLE",50.6246156,3.0584308
65.0,3.0,Appartement,1,"265350,00",5.0,RUE,NEGRIER,59800.0,LILLE,4082.307692307693,"5 RUE NEGRIER, 59800 LILLE",50.6427317,3.0591966
54.0,3.0,Appartement,1,"220000,00",25.0,RUE,DU PLAT,59800.0,LILLE,4074.074074074074,"25 RUE DU PLAT, 59800 LILLE",50.6322569,3.0650671
88.0,4.0,Appartement,2,"295000,00",32.0,RUE,RATISBONNE,59800.0,LILLE,3352.2727272727275,"32 RUE RATISBONNE, 59800 LILLE",50.6300107,3.0542277
